minecraft:air, Air
minecraft:lit_redstone_ore, Lit Redstone Ore
minecraft:unlit_redstone_torch, Unlit Redstone Torch
minecraft:redstone_wall_torch, Redstone Wall Torch
minecraft:redstone_torch, Redstone Torch
minecraft:lit_redstone_torch, Lit Redstone Torch
minecraft:stone_button, Stone Button
minecraft:snow, Snow
minecraft:ice, Ice
minecraft:snow_block, Snow Block
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:sugar_cane, Sugar Cane
minecraft:jukebox, Jukebox
minecraft:oak_fence, Oak Fence
minecraft:spruce_fence, Spruce Fence
minecraft:birch_fence, Birch Fence
minecraft:jungle_fence, Jungle Fence
minecraft:acacia_fence, Acacia Fence
minecraft:dark_oak_fence, Dark Oak Fence
minecraft:pumpkin, Pumpkin
minecraft:carved_pumpkin, Carved Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:nether_portal, Nether Portal
minecraft:jack_o_lantern, Jack o'Lantern
minecraft:cake, Cake
minecraft:repeater, Redstone Repeater
minecraft:powered_repeater, Powered Redstone Repeater
minecraft:oak_trapdoor, Oak Trapdoor
minecraft:infested_stone, Infested Stone
minecraft:infested_cobblestone, Infested Cobblestone
minecraft:infested_stone_bricks, Infested Stone Bricks
minecraft:infested_mossy_stone_bricks, Infested Mossy Stone Bricks
minecraft:infested_cracked_stone_bricks, Infested Cracked Stone Bricks
minecraft:infested_chiseled_stone_bricks, Infested Chiseled Stone Bricks
minecraft:stone_bricks, Stone Bricks
minecraft:mossy_stone_bricks, Mossy Stone Bricks
minecraft:cracked_stone_bricks, Cracked Stone Bricks
minecraft:chiseled_stone_bricks, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Brown Mushroom Block
minecraft:red_mushroom_block, Red Mushroom Block
minecraft:mushroom_stem, Mushroom Stem
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon, Melon
minecraft:pumpkin_stem, Pumpkin Stem
minecraft:attached_pumpkin_stem, Attached Pumpkin Stem
minecraft:melon_stem, Melon Stem
minecraft:attached_melon_stem, Attached Melon Stem
minecraft:vine, Vines
minecraft:oak_fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:lily_pad, Lily Pad
minecraft:nether_bricks, Nether Bricks
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:nether_wart, Nether Wart
minecraft:enchanting_table, Enchanting Table
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:end_portal, End Portal
minecraft:end_portal_frame, End Portal Frame
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:lit_redstone_lamp, Lit Redstone Lamp
minecraft:dropper, Dropper
minecraft:activator_rail, Activator Rail
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:tripwire, Tripwire
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Stairs
minecraft:birch_stairs, Birch Stairs
minecraft:jungle_stairs, Jungle Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall, Cobblestone Wall
minecraft:mossy_cobblestone_wall, Mossy Cobblestone Wall
minecraft:granite_wall, Granite Wall
minecraft:diorite_wall, Diorite Wall
minecraft:andesite_wall, Andesite Wall
minecraft:sandstone_wall, Sandstone Wall
minecraft:brick_wall, Brick Wall
minecraft:stone_brick_wall, Stone Brick Wall
minecraft:mossy_stone_brick_wall, Mossy Stone Brick Wall
minecraft:nether_brick_wall, Nether Brick Wall
minecraft:end_stone_brick_wall, End Stone Brick Wall
minecraft:prismarine_wall, Prismarine Wall
minecraft:red_sandstone_wall, Red Sandstone Wall
minecraft:red_nether_brick_wall, Red Nether Brick Wall
minecraft:flower_pot, Flower Pot
minecraft:potted_blue_orchid, Potted Blue Orchid
minecraft:potted_allium, Potted Allium
minecraft:potted_azure_bluet, Potted Azure Bluet
minecraft:potted_red_tulip, Potted Red Tulip
minecraft:potted_orange_tulip, Potted Orange Tulip
minecraft:potted_white_tulip, Potted White Tulip
minecraft:potted_pink_tulip, Potted Pink Tulip
minecraft:potted_oxeye_daisy, Potted Oxeye Daisy
minecraft:potted_bamboo, Potted Bamboo
minecraft:potted_cornflower, Potted Cornflower
minecraft:potted_lily_of_the_valley, Potted Lily of the Valley
minecraft:potted_wither_rose, Potted Wither Rose
minecraft:potted_poppy, Potted Poppy
minecraft:potted_dandelion, Potted Dandelion
minecraft:potted_oak_sapling, Potted Oak Sapling
minecraft:potted_spruce_sapling, Potted Spruce Sapling
minecraft:potted_birch_sapling, Potted Birch Sapling
minecraft:potted_jungle_sapling, Potted Jungle Sapling
minecraft:potted_red_mushroom, Potted Red Mushroom
minecraft:potted_brown_mushroom, Potted Brown Mushroom
minecraft:potted_cactus, Potted Cactus
minecraft:potted_dead_bush, Potted Dead Bush
minecraft:potted_fern, Potted Fern
minecraft:potted_acacia_sapling, Potted Acacia Sapling
minecraft:potted_dark_oak_sapling, Potted Dark Oak Sapling
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:oak_button, Oak Button
minecraft:skeleton_skull, Skeleton Skull
minecraft:wither_skeleton_skull, Wither Skeleton Skull
minecraft:zombie_head, Zombie Head
minecraft:player_head, Player Head
minecraft:creeper_head, Creeper Head
minecraft:dragon_head, Dragon Head
minecraft:skeleton_wall_skull, Skeleton Wall Skull
minecraft:wither_skeleton_wall_skull, Wither Skeleton Wall Skull
minecraft:zombie_wall_head, Zombie Wall Head
minecraft:player_wall_head, Player Wall Head
minecraft:creeper_wall_head, Creeper Wall Head
minecraft:dragon_wall_head, Dragon Wall Head
minecraft:anvil, Anvil
minecraft:chipped_anvil, Chipped Anvil
minecraft:damaged_anvil, Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Light Weighted Pressure Plate
minecraft:heavy_weighted_pressure_plate, Heavy Weighted Pressure Plate
minecraft:comparator, Comparator
minecraft:powered_comparator, Powered Comparator
minecraft:daylight_detector, Daylight Detector
minecraft:redstone_block, Block of Redstone
minecraft:nether_quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block, Block of Quartz
minecraft:chiseled_quartz_block, Chiseled Quartz Block
minecraft:quartz_pillar, Quartz Pillar
minecraft:smooth_quartz, Smooth Quartz
minecraft:quartz_stairs, Quartz Stairs
minecraft:double_oak_slab, Oak Slab
minecraft:double_spruce_slab, Spruce Slab
minecraft:double_birch_slab, Birch Slab
minecraft:double_jungle_slab, Jungle Slab
minecraft:double_acacia_slab, Acacia Slab
minecraft:double_dark_oak_slab, Dark Oak Slab
minecraft:oak_slab, Oak Slab
minecraft:spruce_slab, Spruce Slab
minecraft:birch_slab, Birch Slab
minecraft:jungle_slab, Jungle Slab
minecraft:acacia_slab, Acacia Slab
minecraft:dark_oak_slab, Dark Oak Slab
minecraft:white_terracotta, White Terracotta
minecraft:orange_terracotta, Orange Terracotta
minecraft:magenta_terracotta, Magenta Terracotta
minecraft:light_blue_terracotta, Light Blue Terracotta
minecraft:yellow_terracotta, Yellow Terracotta
minecraft:lime_terracotta, Lime Terracotta
minecraft:pink_terracotta, Pink Terracotta
minecraft:gray_terracotta, Gray Terracotta
minecraft:light_gray_terracotta, Light Gray Terracotta
minecraft:cyan_terracotta, Cyan Terracotta
minecraft:purple_terracotta, Purple Terracotta
minecraft:blue_terracotta, Blue Terracotta
minecraft:brown_terracotta, Brown Terracotta
minecraft:green_terracotta, Green Terracotta
minecraft:red_terracotta, Red Terracotta
minecraft:black_terracotta, Black Terracotta
minecraft:white_stained_glass_pane, White Stained Glass Pane
minecraft:orange_stained_glass_pane, Orange Stained Glass Pane
minecraft:magenta_stained_glass_pane, Magenta Stained Glass Pane
minecraft:light_blue_stained_glass_pane, Light Blue Stained Glass Pane
minecraft:yellow_stained_glass_pane, Yellow Stained Glass Pane
minecraft:lime_stained_glass_pane, Lime Stained Glass Pane
minecraft:pink_stained_glass_pane, Pink Stained Glass Pane
minecraft:gray_stained_glass_pane, Gray Stained Glass Pane
minecraft:light_gray_stained_glass_pane, Light Gray Stained Glass Pane
minecraft:cyan_stained_glass_pane, Cyan Stained Glass Pane
minecraft:purple_stained_glass_pane, Purple Stained Glass Pane
minecraft:blue_stained_glass_pane, Blue Stained Glass Pane
minecraft:brown_stained_glass_pane, Brown Stained Glass Pane
minecraft:green_stained_glass_pane, Green Stained Glass Pane
minecraft:red_stained_glass_pane, Red Stained Glass Pane
minecraft:black_stained_glass_pane, Black Stained Glass Pane
minecraft:acacia_leaves, Acacia Leaves
minecraft:dark_oak_leaves, Dark Oak Leaves
minecraft:acacia_log, Acacia Log
minecraft:dark_oak_log, Dark Oak Log
minecraft:acacia_stairs, Acacia Stairs
minecraft:dark_oak_stairs, Dark Oak Stairs
minecraft:slime_block, Slime Block
minecraft:iron_trapdoor, Iron Trapdoor
minecraft:prismarine, Prismarine
minecraft:dark_prismarine, Dark Prismarine
minecraft:prismarine_bricks, Prismarine Bricks
minecraft:sea_lantern, Sea Lantern
minecraft:hay_block, Hay Bale
minecraft:white_carpet, White Carpet
minecraft:orange_carpet, Orange Carpet
minecraft:magenta_carpet, Magenta Carpet
minecraft:light_blue_carpet, Light Blue Carpet
minecraft:yellow_carpet, Yellow Carpet
minecraft:lime_carpet, Lime Carpet
minecraft:pink_carpet, Pink Carpet
minecraft:gray_carpet, Gray Carpet
minecraft:light_gray_carpet, Light Gray Carpet
minecraft:cyan_carpet, Cyan Carpet
minecraft:purple_carpet, Purple Carpet
minecraft:blue_carpet, Blue Carpet
minecraft:brown_carpet, Brown Carpet
minecraft:green_carpet, Green Carpet
minecraft:red_carpet, Red Carpet
minecraft:black_carpet, Black Carpet
minecraft:terracotta, Terracotta
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:sunflower, Sunflower
minecraft:lilac, Lilac
minecraft:tall_grass, Tall Grass
minecraft:large_fern, Large Fern
minecraft:rose_bush, Rose Bush
minecraft:peony, Peony
minecraft:white_banner, White Banner
minecraft:orange_banner, Orange Banner
minecraft:magenta_banner, Magenta Banner
minecraft:light_blue_banner, Light Blue Banner
minecraft:yellow_banner, Yellow Banner
minecraft:lime_banner, Lime Banner
minecraft:pink_banner, Pink Banner
minecraft:gray_banner, Gray Banner
minecraft:light_gray_banner, Light Gray Banner
minecraft:cyan_banner, Cyan Banner
minecraft:purple_banner, Purple Banner
minecraft:blue_banner, Blue Banner
minecraft:brown_banner, Brown Banner
minecraft:green_banner, Green Banner
minecraft:red_banner, Red Banner
minecraft:black_banner, Black Banner
minecraft:white_wall_banner, White Wall Banner
minecraft:orange_wall_banner, Orange Wall Banner
minecraft:magenta_wall_banner, Magenta Wall Banner
minecraft:light_blue_wall_banner, Light Blue Wall Banner
minecraft:yellow_wall_banner, Yellow Wall Banner
minecraft:lime_wall_banner, Lime Wall Banner
minecraft:pink_wall_banner, Pink Wall Banner
minecraft:gray_wall_banner, Gray Wall Banner
minecraft:light_gray_wall_banner, Light Gray Wall Banner
minecraft:cyan_wall_banner, Cyan Wall Banner
minecraft:purple_wall_banner, Purple Wall Banner
minecraft:blue_wall_banner, Blue Wall Banner
minecraft:brown_wall_banner, Brown Wall Banner
minecraft:green_wall_banner, Green Wall Banner
minecraft:red_wall_banner, Red Wall Banner
minecraft:black_wall_banner, Black Wall Banner
minecraft:daylight_detector_inverted, Daylight Detector Inverted
minecraft:red_sandstone, Red Sandstone
minecraft:chiseled_red_sandstone, Chiseled Red Sandstone
minecraft:cut_red_sandstone, Cut Red Sandstone
minecraft:smooth_red_sandstone, Smooth Red Sandstone
minecraft:red_sandstone_stairs, Red Sandstone Stairs
minecraft:double_purpur_slab, Double Purpur Slab
minecraft:double_red_sandstone_slab, Double Red Sandstone Slab
minecraft:double_prismarine_slab, Double Prismarine Slab
minecraft:double_prismarine_brick_slab, Double Prismarine Brick Slab
minecraft:double_dark_prismarine_slab, Double Dark Prismarine Slab
minecraft:double_mossy_cobblestone_slab, Double Mossy Cobblestone Slab
minecraft:double_smooth_sandstone_slab, Double Smooth Sandstone Slab
minecraft:double_red_nether_brick_slab, Double Red Nether Brick Slab
minecraft:red_sandstone_slab, Red Sandstone Slab
minecraft:purpur_slab, Purpur Slab
minecraft:prismarine_slab, Prismarine Slab
minecraft:dark_prismarine_slab, Dark Prismarine Slab
minecraft:prismarine_brick_slab, Prismarine Brick Slab
minecraft:mossy_cobblestone_slab, Mossy Cobblestone Slab
minecraft:smooth_sandstone_slab, Smooth Sandstone Slab
minecraft:red_nether_brick_slab, Red Nether Brick Slab
minecraft:spruce_fence_gate, Spruce Fence Gate
minecraft:birch_fence_gate, Birch Fence Gate
minecraft:jungle_fence_gate, Jungle Fence Gate
minecraft:dark_oak_fence_gate, Dark Oak Fence Gate
minecraft:acacia_fence_gate, Acacia Fence Gate
minecraft:repeating_command_block, Repeating Command Block
minecraft:chain_command_block, Chain Command Block
minecraft:spruce_door, Spruce Door
minecraft:birch_door, Birch Door
minecraft:jungle_door, Jungle Door
minecraft:acacia_door, Acacia Door
minecraft:dark_oak_door, Dark Oak Door
minecraft:grass_path, Grass Path
minecraft:item_frame, Item Frame
minecraft:chorus_flower, Chorus Flower
minecraft:purpur_block, Purpur Block
minecraft:purpur_pillar, Purpur Pillar
minecraft:purpur_stairs, Purpur Stairs
minecraft:end_stone_bricks, End Stone Bricks
minecraft:frosted_ice, Frosted Ice
minecraft:end_rod, End Rod
minecraft:end_gateway, End Gateway
minecraft:magma_block, Magma Block
minecraft:nether_wart_block, Nether Wart Block
minecraft:red_nether_bricks, Red Nether Bricks
minecraft:bone_block, Bone Block
minecraft:structure_void, Structure Void
minecraft:shulker_box, Shulker Box
minecraft:white_shulker_box, White Shulker Box
minecraft:orange_shulker_box, Orange Shulker Box
minecraft:magenta_shulker_box, Magenta Shulker Box
minecraft:light_blue_shulker_box, Light Blue Shulker Box
minecraft:yellow_shulker_box, Yellow Shulker Box
minecraft:lime_shulker_box, Lime Shulker Box
minecraft:pink_shulker_box, Pink Shulker Box
minecraft:gray_shulker_box, Gray Shulker Box
minecraft:light_gray_shulker_box, Light Gray Shulker Box
minecraft:cyan_shulker_box, Cyan Shulker Box
minecraft:purple_shulker_box, Purple Shulker Box
minecraft:blue_shulker_box, Blue Shulker Box
minecraft:brown_shulker_box, Brown Shulker Box
minecraft:green_shulker_box, Green Shulker Box
minecraft:red_shulker_box, Red Shulker Box
minecraft:black_shulker_box, Black Shulker Box
minecraft:purple_glazed_terracotta, Purple Glazed Terracotta
minecraft:white_glazed_terracotta, White Glazed Terracotta
minecraft:orange_glazed_terracotta, Orange Glazed Terracotta
minecraft:magenta_glazed_terracotta, Magenta Glazed Terracotta
minecraft:light_blue_glazed_terracotta, Light Blue Glazed Terracotta
minecraft:yellow_glazed_terracotta, Yellow Glazed Terracotta
minecraft:lime_glazed_terracotta, Lime Glazed Terracotta
minecraft:pink_glazed_terracotta, Pink Glazed Terracotta
minecraft:gray_glazed_terracotta, Gray Glazed Terracotta
minecraft:light_gray_glazed_terracotta, Light Gray Glazed Terracotta
minecraft:cyan_glazed_terracotta, Cyan Glazed Terracotta
minecraft:blue_glazed_terracotta, Blue Glazed Terracotta
minecraft:brown_glazed_terracotta, Brown Glazed Terracotta
minecraft:green_glazed_terracotta, Green Glazed Terracotta
minecraft:red_glazed_terracotta, Red Glazed Terracotta
minecraft:black_glazed_terracotta, Black Glazed Terracotta
minecraft:white_concrete, White Concrete
minecraft:orange_concrete, Orange Concrete
minecraft:magenta_concrete, Magenta Concrete
minecraft:light_blue_concrete, Light Blue Concrete
minecraft:yellow_concrete, Yellow Concrete
minecraft:lime_concrete, Lime Concrete
minecraft:pink_concrete, Pink Concrete
minecraft:gray_concrete, Gray Concrete
minecraft:light_gray_concrete, Light Gray Concrete
minecraft:cyan_concrete, Cyan Concrete
minecraft:purple_concrete, Purple Concrete
minecraft:blue_concrete, Blue Concrete
minecraft:brown_concrete, Brown Concrete
minecraft:green_concrete, Green Concrete
minecraft:red_concrete, Red Concrete
minecraft:black_concrete, Black Concrete
minecraft:white_concrete_powder, White Concrete Powder
minecraft:orange_concrete_powder, Orange Concrete Powder
minecraft:magenta_concrete_powder, Magenta Concrete Powder
minecraft:light_blue_concrete_powder, Light Blue Concrete Powder
minecraft:yellow_concrete_powder, Yellow Concrete Powder
minecraft:lime_concrete_powder, Lime Concrete Powder
minecraft:pink_concrete_powder, Pink Concrete Powder
minecraft:gray_concrete_powder, Gray Concrete Powder
minecraft:light_gray_concrete_powder, Light Gray Concrete Powder
minecraft:cyan_concrete_powder, Cyan Concrete Powder
minecraft:purple_concrete_powder, Purple Concrete Powder
minecraft:blue_concrete_powder, Blue Concrete Powder
minecraft:brown_concrete_powder, Brown Concrete Powder
minecraft:green_concrete_powder, Green Concrete Powder
minecraft:red_concrete_powder, Red Concrete Powder
minecraft:black_concrete_powder, Black Concrete Powder
minecraft:chorus_plant, Chorus Plant
minecraft:white_stained_glass, White Stained Glass
minecraft:orange_stained_glass, Orange Stained Glass
minecraft:magenta_stained_glass, Magenta Stained Glass
minecraft:light_blue_stained_glass, Light Blue Stained Glass
minecraft:yellow_stained_glass, Yellow Stained Glass
minecraft:lime_stained_glass, Lime Stained Glass
minecraft:pink_stained_glass, Pink Stained Glass
minecraft:gray_stained_glass, Gray Stained Glass
minecraft:light_gray_stained_glass, Light Gray Stained Glass
minecraft:cyan_stained_glass, Cyan Stained Glass
minecraft:purple_stained_glass, Purple Stained Glass
minecraft:blue_stained_glass, Blue Stained Glass
minecraft:brown_stained_glass, Brown Stained Glass
minecraft:green_stained_glass, Green Stained Glass
minecraft:red_stained_glass, Red Stained Glass
minecraft:black_stained_glass, Black Stained Glass
minecraft:podzol, Podzol
minecraft:beetroots, Beetroots
minecraft:stonecutter, Stonecutter
minecraft:moving_piston, Moving Piston
minecraft:observer, Observer
minecraft:structure_block, Structure Block
minecraft:prismarine_stairs, Prismarine Stairs
minecraft:dark_prismarine_stairs, Dark Prismarine Stairs
minecraft:prismarine_brick_stairs, Prismarine Brick Stairs
minecraft:stripped_spruce_log, Stripped Spruce Log
minecraft:stripped_birch_log, Stripped Birch Log
minecraft:stripped_jungle_log, Stripped Jungle Log
minecraft:stripped_acacia_log, Stripped Acacia Log
minecraft:stripped_dark_oak_log, Stripped Dark Oak Log
minecraft:stripped_oak_log, Stripped Oak Log
minecraft:blue_ice, Blue Ice
minecraft:seagrass, Seagrass
minecraft:tall_seagrass, Tall Seagrass
minecraft:tube_coral, Tube Coral
minecraft:brain_coral, Brain Coral
minecraft:bubble_coral, Bubble Coral
minecraft:fire_coral, Fire Coral
minecraft:horn_coral, Horn Coral
minecraft:dead_tube_coral, Dead Tube Coral
minecraft:dead_brain_coral, Dead Brain Coral
minecraft:dead_bubble_coral, Dead Bubble Coral
minecraft:dead_fire_coral, Dead Fire Coral
minecraft:dead_horn_coral, Dead Horn Coral
minecraft:tube_coral_block, Tube Coral Block
minecraft:brain_coral_block, Brain Coral Block
minecraft:bubble_coral_block, Bubble Coral Block
minecraft:fire_coral_block, Fire Coral Block
minecraft:horn_coral_block, Horn Coral Block
minecraft:dead_tube_coral_block, Dead Tube Coral Block
minecraft:dead_brain_coral_block, Dead Brain Coral Block
minecraft:dead_bubble_coral_block, Dead Bubble Coral Block
minecraft:dead_fire_coral_block, Dead Fire Coral Block
minecraft:dead_horn_coral_block, Dead Horn Coral Block
minecraft:tube_coral_fan, Tube Coral Fan
minecraft:brain_coral_fan, Brain Coral Fan
minecraft:bubble_coral_fan, Bubble Coral Fan
minecraft:fire_coral_fan, Fire Coral Fan
minecraft:horn_coral_fan, Horn Coral Fan
minecraft:dead_tube_coral_fan, Dead Tube Coral Fan
minecraft:dead_brain_coral_fan, Dead Brain Coral Fan
minecraft:dead_bubble_coral_fan, Dead Bubble Coral Fan
minecraft:dead_fire_coral_fan, Dead Fire Coral Fan
minecraft:dead_horn_coral_fan, Dead Horn Coral Fan
minecraft:tube_coral_wall_fan, Tube Coral Wall Fan
minecraft:brain_coral_wall_fan, Brain Coral Wall Fan
minecraft:dead_tube_coral_wall_fan, Dead Tube Coral Wall Fan
minecraft:dead_brain_coral_wall_fan, Dead Brain Coral Wall Fan
minecraft:bubble_coral_wall_fan, Bubble Coral Wall Fan
minecraft:fire_coral_wall_fan, Fire Coral Wall Fan
minecraft:dead_bubble_coral_wall_fan, Dead Bubble Coral Wall Fan
minecraft:dead_fire_coral_wall_fan, Dead Fire Coral Wall Fan
minecraft:horn_coral_wall_fan, Horn Coral Wall Fan
minecraft:dead_horn_coral_wall_fan, Dead Horn Coral Wall Fan
minecraft:kelp, Kelp
minecraft:kelp_plant, Kelp Plant
minecraft:dried_kelp_block, Dried Kelp Block
minecraft:acacia_button, Acacia Button
minecraft:birch_button, Birch Button
minecraft:dark_oak_button, Dark Oak Button
minecraft:jungle_button, Jungle Button
minecraft:spruce_button, Spruce Button
minecraft:acacia_trapdoor, Acacia Trapdoor
minecraft:birch_trapdoor, Birch Trapdoor
minecraft:dark_oak_trapdoor, Dark Oak Trapdoor
minecraft:jungle_trapdoor, Jungle Trapdoor
minecraft:spruce_trapdoor, Spruce Trapdoor
minecraft:acacia_pressure_plate, Acacia Pressure Plate
minecraft:birch_pressure_plate, Birch Pressure Plate
minecraft:dark_oak_pressure_plate, Dark Oak Pressure Plate
minecraft:jungle_pressure_plate, Jungle Pressure Plate
minecraft:spruce_pressure_plate, Spruce Pressure Plate
minecraft:sea_pickle, Sea Pickle
minecraft:conduit, Conduit
